Jenis Usaha;Provinsi;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi
BUDIDAYA;PAPUA;BANDENG;2020;1405.14;80981534
BUDIDAYA;PAPUA BARAT;BANDENG;2010;56;1422500
BUDIDAYA;PAPUA BARAT;BANDENG;2011;89;3115000
BUDIDAYA;PAPUA BARAT;BANDENG;2012;62;930
BUDIDAYA;PAPUA BARAT;BANDENG;2013;48;1920000
BUDIDAYA;PAPUA BARAT;BANDENG;2014;35;1750000
BUDIDAYA;PAPUA BARAT;BANDENG;2015;98.99;2950000
BUDIDAYA;PAPUA BARAT;BANDENG;2016;107;4150000
BUDIDAYA;PAPUA BARAT;BANDENG;2017;316.7;5381033
BUDIDAYA;PAPUA BARAT;BANDENG;2018;345.22;17260838
BUDIDAYA;PAPUA BARAT;BANDENG;2019;45.43;3636700
BUDIDAYA;PAPUA BARAT;BANDENG;2020;100.96;5826507
BUDIDAYA;RIAU;BANDENG;2010;932;16776000
BUDIDAYA;RIAU;BANDENG;2011;983;29490000
BUDIDAYA;RIAU;BANDENG;2012;353.33;6006610
BUDIDAYA;RIAU;BANDENG;2013;188.31;5649300
BUDIDAYA;RIAU;BANDENG;2014;200.07;3534700
BUDIDAYA;RIAU;BANDENG;2015;71.62;1097880
BUDIDAYA;RIAU;BANDENG;2016;553.4;10292400
BUDIDAYA;RIAU;BANDENG;2017;57.91;983,881
BUDIDAYA;RIAU;BANDENG;2018;3353.59;73776680
BUDIDAYA;RIAU;BANDENG;2019;1714.35;42858005
BUDIDAYA;RIAU;BANDENG;2020;306.34;9347261
BUDIDAYA;SULAWESI BARAT;BANDENG;2010;14159.39;184225458
BUDIDAYA;SULAWESI BARAT;BANDENG;2011;14708.89;220633350
BUDIDAYA;SULAWESI BARAT;BANDENG;2012;15919.32;238789800
BUDIDAYA;SULAWESI BARAT;BANDENG;2013;14814.73;226052647
BUDIDAYA;SULAWESI BARAT;BANDENG;2014;17554.67;245765380
BUDIDAYA;SULAWESI BARAT;BANDENG;2015;17868.79;273274910
BUDIDAYA;SULAWESI BARAT;BANDENG;2016;21002.61;325201735
BUDIDAYA;SULAWESI BARAT;BANDENG;2017;6889.85;117065441
BUDIDAYA;SULAWESI BARAT;BANDENG;2018;10590.48;198173065
BUDIDAYA;SULAWESI BARAT;BANDENG;2019;10031.84;231095667
BUDIDAYA;SULAWESI BARAT;BANDENG;2020;19051.84;491130793
BUDIDAYA;SULAWESI SELATAN;BANDENG;2010;78181;1172812125
BUDIDAYA;SULAWESI SELATAN;BANDENG;2011;87309;1309635000
BUDIDAYA;SULAWESI SELATAN;BANDENG;2012;89708.1;1345621500
BUDIDAYA;SULAWESI SELATAN;BANDENG;2013;119896.1;1798441500
BUDIDAYA;SULAWESI SELATAN;BANDENG;2014;123933.6;1859004000
BUDIDAYA;SULAWESI SELATAN;BANDENG;2015;126252.53;1893436950
BUDIDAYA;SULAWESI SELATAN;BANDENG;2016;155762.4;2336439600
BUDIDAYA;SULAWESI SELATAN;BANDENG;2017;169796.56;2885013419
BUDIDAYA;SULAWESI SELATAN;BANDENG;2018;193511.38;3628584968
BUDIDAYA;SULAWESI SELATAN;BANDENG;2019;183354.32;3747652831
BUDIDAYA;SULAWESI SELATAN;BANDENG;2020;138222.55;3471184120
BUDIDAYA;SULAWESI TENGAH;BANDENG;2010;5363.7;58761547
BUDIDAYA;SULAWESI TENGAH;BANDENG;2011;6991.1;83893200
BUDIDAYA;SULAWESI TENGAH;BANDENG;2012;6341.2;95118000
BUDIDAYA;SULAWESI TENGAH;BANDENG;2013;6636;90797740
BUDIDAYA;SULAWESI TENGAH;BANDENG;2014;8451.77;128889493
BUDIDAYA;SULAWESI TENGAH;BANDENG;2015;13160.44;208162160
BUDIDAYA;SULAWESI TENGAH;BANDENG;2016;16895.7;254167974
BUDIDAYA;SULAWESI TENGAH;BANDENG;2017;20131.8;342059346
BUDIDAYA;SULAWESI TENGAH;BANDENG;2018;40945.58;456493662
BUDIDAYA;SULAWESI TENGAH;BANDENG;2019;13183.66;183294233
BUDIDAYA;SULAWESI TENGAH;BANDENG;2020;14731.26;379404221
BUDIDAYA;SULAWESI TENGGARA;BANDENG;2010;32812.11;531538946
BUDIDAYA;SULAWESI TENGGARA;BANDENG;2011;34157.94;444053220
BUDIDAYA;SULAWESI TENGGARA;BANDENG;2012;42733;640995000
BUDIDAYA;SULAWESI TENGGARA;BANDENG;2013;54774.47;972440380
BUDIDAYA;SULAWESI TENGGARA;BANDENG;2014;40635.47;609532050
BUDIDAYA;SULAWESI TENGGARA;BANDENG;2015;42344.95;501706200
BUDIDAYA;SULAWESI TENGGARA;BANDENG;2016;45168.44;677526600
BUDIDAYA;SULAWESI TENGGARA;BANDENG;2017;10030.64;170430587
BUDIDAYA;SULAWESI TENGGARA;BANDENG;2018;61161.33;1214818747
BUDIDAYA;SULAWESI TENGGARA;BANDENG;2019;45018.27;841108582
BUDIDAYA;SULAWESI TENGGARA;BANDENG;2020;42892.49;967719535
BUDIDAYA;SULAWESI UTARA;BANDENG;2010;344;8658710
BUDIDAYA;SULAWESI UTARA;BANDENG;2011;232.08;3481200
BUDIDAYA;SULAWESI UTARA;BANDENG;2012;180.9;2713500
BUDIDAYA;SULAWESI UTARA;BANDENG;2013;1833.07;38313520
BUDIDAYA;SULAWESI UTARA;BANDENG;2014;729.4;15060800
BUDIDAYA;SULAWESI UTARA;BANDENG;2015;207.83;7404260
BUDIDAYA;SULAWESI UTARA;BANDENG;2016;376.29;8836250
BUDIDAYA;SULAWESI UTARA;BANDENG;2017;5.32;90,443
BUDIDAYA;SULAWESI UTARA;BANDENG;2018;262.91;8009041
BUDIDAYA;SULAWESI UTARA;BANDENG;2019;153.1;4040155
BUDIDAYA;SULAWESI UTARA;BANDENG;2020;286.29;13327529
BUDIDAYA;SUMATERA BARAT;BANDENG;2010;11.35;228,135
BUDIDAYA;SUMATERA BARAT;BANDENG;2011;11.32;271,68
BUDIDAYA;SUMATERA BARAT;BANDENG;2012;20.15;251,875
BUDIDAYA;SUMATERA BARAT;BANDENG;2013;6;68,352
BUDIDAYA;SUMATERA BARAT;BANDENG;2014;0;0
BUDIDAYA;SUMATERA BARAT;BANDENG;2015;0;0
BUDIDAYA;SUMATERA BARAT;BANDENG;2016;0;0
BUDIDAYA;SUMATERA BARAT;BANDENG;2020;0;0
BUDIDAYA;SUMATERA SELATAN;BANDENG;2010;1299.2;29881600
BUDIDAYA;SUMATERA SELATAN;BANDENG;2011;1458.3;33540900
BUDIDAYA;SUMATERA SELATAN;BANDENG;2012;3029;36348000
BUDIDAYA;SUMATERA SELATAN;BANDENG;2013;6543.5;68546850
BUDIDAYA;SUMATERA SELATAN;BANDENG;2014;7084.8;85017600
BUDIDAYA;SUMATERA SELATAN;BANDENG;2015;17307;249871600
BUDIDAYA;SUMATERA SELATAN;BANDENG;2016;12788.2;204611200
BUDIDAYA;SUMATERA SELATAN;BANDENG;2017;220.37;3744307
BUDIDAYA;SUMATERA SELATAN;BANDENG;2018;26641.89;426270250
BUDIDAYA;SUMATERA SELATAN;BANDENG;2019;41154.9;707954559
BUDIDAYA;SUMATERA SELATAN;BANDENG;2020;14750.41;372964426
BUDIDAYA;SUMATERA UTARA;BANDENG;2010;2026.5;36477000
BUDIDAYA;SUMATERA UTARA;BANDENG;2011;3490.2;59333400
BUDIDAYA;SUMATERA UTARA;BANDENG;2012;3447.99;43099875
BUDIDAYA;SUMATERA UTARA;BANDENG;2013;3240.5;35636300
BUDIDAYA;SUMATERA UTARA;BANDENG;2014;1821.4;31155480
BUDIDAYA;SUMATERA UTARA;BANDENG;2015;3425;58467900
BUDIDAYA;SUMATERA UTARA;BANDENG;2016;1350.2;24588000
BUDIDAYA;SUMATERA UTARA;BANDENG;2017;0.28;4,673
BUDIDAYA;SUMATERA UTARA;BANDENG;2018;2236.67;35938218
BUDIDAYA;SUMATERA UTARA;BANDENG;2019;2929.15;31584166
BUDIDAYA;SUMATERA UTARA;BANDENG;2020;2340.44;68158566
